ticker,eodhd_ticker,name,sector,industry,ipo_date,market_cap
KWR,KWR.US,Quaker Chemical Corporation,Basic Materials,Specialty Chemicals,1985-11-01,
LAUR,LAUR.US,Laureate Education Inc,Consumer Defensive,Education & Training Services,2017-02-01,
LBRT,LBRT.US,Liberty Oilfield Services Inc,Energy,Oil & Gas Equipment & Services,2018-01-12,
LCII,LCII.US,LCI Industries,Consumer Cyclical,Recreational Vehicles,1989-05-03,
LEG,LEG.US,Leggett & Platt Incorporated,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1987-11-05,
LGIH,LGIH.US,LGI Homes,Consumer Cyclical,Residential Construction,2013-11-07,
LIF,LIF.US,"Life360, Inc. Common Stock",Technology,Software - Application,2024-06-06,
LGND,LGND.US,Ligand Pharmaceuticals Incorporated,Healthcare,Biotechnology,1992-11-18,
LKQ,LKQ.US,LKQ Corporation,Consumer Cyclical,Auto Parts,2003-10-03,
LMAT,LMAT.US,LeMaitre Vascular Inc,Healthcare,Medical Instruments & Supplies,2006-10-19,
LNN,LNN.US,Lindsay Corporation,Industrials,Farm & Heavy Construction Machinery,1988-10-12,
LPG,LPG.US,Dorian LPG Ltd,Energy,Oil & Gas Midstream,2014-05-08,
LQDT,LQDT.US,Liquidity Services Inc,Consumer Cyclical,Internet Retail,2006-02-23,
LRN,LRN.US,Stride Inc,Consumer Defensive,Education & Training Services,2007-12-13,
LTC,LTC.US,LTC Properties Inc,Real Estate,REIT - Healthcare Facilities,1992-08-17,
LTH,LTH.US,Life Time Group Holdings Inc,Consumer Cyclical,Leisure,2021-10-07,
LUMN,LUMN.US,Lumen Technologies Inc,Communication Services,Telecom Services,1972-12-15,
LW,LW.US,Lamb Weston Holdings Inc,Consumer Defensive,Packaged Foods,2016-11-10,
LXP,LXP.US,LXP Industrial Trust,Real Estate,REIT - Industrial,1993-08-10,
LYFT,LYFT.US,LYFT Inc,Technology,Software - Application,2019-03-29,
LZ,LZ.US,LegalZoom.com Inc,Industrials,Specialty Business Services,2021-06-30,
LZB,LZB.US,La-Z-Boy Incorporated,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1988-01-05,
MAC,MAC.US,Macerich Company,Real Estate,REIT - Retail,1994-03-09,
MAN,MAN.US,ManpowerGroup Inc,Industrials,Staffing & Employment Services,1988-05-03,
MATW,MATW.US,Matthews International Corporation,Industrials,Conglomerates,1994-07-20,
MATX,MATX.US,Matson Inc,Industrials,Marine Shipping,1973-05-03,
MBC,MBC.US,MasterBrand Inc.,Consumer Cyclical,"Furnishings, Fixtures & Appliances",2022-12-15,
MCRI,MCRI.US,Monarch Casino & Resort Inc,Consumer Cyclical,Resorts & Casinos,1993-08-06,
MCW,MCW.US,"Mister Car Wash, Inc. Common Stock",Consumer Cyclical,Auto & Truck Dealerships,2021-06-25,
MD,MD.US,Mednax Inc,Healthcare,Medical Care Facilities,1995-09-19,
MDU,MDU.US,MDU Resources Group Inc,Utilities,Utilities - Regulated Gas,1987-11-05,
MGEE,MGEE.US,MGE Energy Inc,Utilities,Utilities - Regulated Electric,1990-03-26,
MGY,MGY.US,Magnolia Oil & Gas Corp,Energy,Oil & Gas E&P,2017-05-05,
MHK,MHK.US,Mohawk Industries Inc,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1992-04-01,
MHO,MHO.US,M/I Homes Inc,Consumer Cyclical,Residential Construction,1986-10-03,
MIR,MIR.US,Mirion Technologies Inc,Industrials,Specialty Industrial Machinery,2020-08-20,
MLKN,MLKN.US,MillerKnoll Inc,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1990-03-26,
MMI,MMI.US,Marcus & Millichap Inc,Real Estate,Real Estate Services,2013-10-31,
MMSI,MMSI.US,Merit Medical Systems Inc,Healthcare,Medical Instruments & Supplies,1990-08-09,
MNRO,MNRO.US,Monro Muffler Brake Inc,Consumer Cyclical,Auto Parts,1991-07-29,
MOH,MOH.US,Molina Healthcare Inc,Healthcare,Healthcare Plans,2003-07-02,
MPT,MPT.US,"Medical Properties Trust, Inc.",Real Estate,REIT - Healthcare Facilities,2005-07-08,
MRCY,MRCY.US,Mercury Systems Inc,Industrials,Aerospace & Defense,1998-01-30,
MRTN,MRTN.US,Marten Transport Ltd,Industrials,Trucking,1986-09-25,
MSEX,MSEX.US,Middlesex Water Company,Utilities,Utilities - Regulated Water,1990-03-26,
MSGS,MSGS.US,Madison Square Garden Sports Corp,Communication Services,Entertainment,2015-10-01,
MTCH,MTCH.US,Match Group Inc,Communication Services,Internet Content & Information,2015-11-19,
MTH,MTH.US,Meritage Corporation,Consumer Cyclical,Residential Construction,1988-07-20,
MTRN,MTRN.US,Materion Corporation,Basic Materials,Other Industrial Metals & Mining,1984-09-07,
MTUS,MTUS.US,"Metallus, Inc",Basic Materials,Steel,2014-06-19,
MTX,MTX.US,Minerals Technologies Inc,Basic Materials,Specialty Chemicals,1992-10-23,
MWA,MWA.US,Mueller Water Products,Industrials,Specialty Industrial Machinery,2006-05-26,
MXL,MXL.US,MaxLinear Inc,Technology,Semiconductors,2010-03-24,
MYRG,MYRG.US,MYR Group Inc,Industrials,Engineering & Construction,2008-08-13,
NABL,NABL.US,N-Able Inc,Technology,Information Technology Services,2021-07-20,
NE,NE.US,Noble Corporation plc,Energy,Oil & Gas Drilling,1990-03-26,
NEO,NEO.US,NeoGenomics Inc,Healthcare,Diagnostics & Research,1999-11-02,
NEOG,NEOG.US,Neogen Corporation,Healthcare,Medical Devices,1989-08-23,
NGVT,NGVT.US,Ingevity Corp,Basic Materials,Specialty Chemicals,2016-05-02,
NHC,NHC.US,National HealthCare Corporation,Healthcare,Medical Care Facilities,1987-01-20,
NOG,NOG.US,Northern Oil & Gas Inc,Energy,Oil & Gas E&P,2007-04-13,
NPK,NPK.US,National Presto Industries Inc,Industrials,Aerospace & Defense,1987-12-30,
NPO,NPO.US,Enpro Industries,Industrials,Specialty Industrial Machinery,2002-05-24,
NSIT,NSIT.US,Insight Enterprises Inc,Technology,Electronics & Computer Distribution,1995-01-24,
NSP,NSP.US,Insperity Inc,Industrials,Staffing & Employment Services,1997-01-28,
NSSC,NSSC.US,NAPCO Security Technologies Inc,Industrials,Security & Protection Services,1990-03-26,
NTCT,NTCT.US,NetScout Systems Inc,Technology,Software - Infrastructure,1999-08-12,
NVRI,NVRI.US,Enviri Corporation,Industrials,Waste Management,1987-11-05,
NWL,NWL.US,Newell Brands Inc,Consumer Defensive,Household & Personal Products,1984-07-19,
NWN,NWN.US,Northwest Natural Gas Co,Utilities,Utilities - Regulated Gas,1990-03-26,
NX,NX.US,Quanex Building Products,Industrials,Building Products & Equipment,1987-12-30,
NXRT,NXRT.US,Nexpoint Residential Trust Inc,Real Estate,REIT - Residential,2015-03-19,
OGN,OGN.US,Organon & Co,Healthcare,Drug Manufacturers - General,2021-06-02,
OI,OI.US,O-I Glass Inc,Consumer Cyclical,Packaging & Containers,1991-12-11,
OII,OII.US,Oceaneering International Inc,Energy,Oil & Gas Equipment & Services,1990-03-26,
OMCL,OMCL.US,Omnicell Inc,Healthcare,Health Information Services,2001-08-07,
OSIS,OSIS.US,OSI Systems Inc,Technology,Electronic Components,1997-10-02,
OSW,OSW.US,OneSpaWorld Holdings Ltd,Consumer Cyclical,Leisure,2019-03-20,
OTTR,OTTR.US,Otter Tail Corporation,Industrials,Conglomerates,1990-03-26,
OUT,OUT.US,Outfront Media Inc,Real Estate,REIT - Specialty,2014-03-28,
OXM,OXM.US,Oxford Industries Inc,Consumer Cyclical,Apparel Manufacturing,1987-12-30,
PAHC,PAHC.US,Phibro Animal Health Corporation,Healthcare,Drug Manufacturers - Specialty & Generic,2014-04-11,
PARR,PARR.US,Par Pacific Holdings Inc,Energy,Oil & Gas Refining & Marketing,2012-09-05,
PAYC,PAYC.US,"Paycom Software, Inc.",Technology,Software - Application,2014-04-15,
PAYO,PAYO.US,Payoneer Global Inc,Technology,Software - Infrastructure,2021-06-28,
PATK,PATK.US,Patrick Industries Inc,Consumer Cyclical,Recreational Vehicles,1978-01-13,
PBH,PBH.US,Prestige Brand Holdings Inc,Healthcare,Drug Manufacturers - Specialty & Generic,2005-02-10,
PBI,PBI.US,Pitney Bowes Inc,Industrials,Integrated Freight & Logistics,1972-06-01,
PCRX,PCRX.US,"Pacira BioSciences, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,2011-02-03,
PDFS,PDFS.US,PDF Solutions Inc,Technology,Software - Application,2001-07-31,
PEB,PEB.US,Pebblebrook Hotel Trust,Real Estate,REIT - Hotel & Motel,2009-12-09,
PECO,PECO.US,Phillips Edison & Co Inc,Real Estate,REIT - Retail,2021-07-15,
PENG,PENG.US,"Penguin Solutions, Inc.",Technology,Information Technology Services,2017-05-24,
PENN,PENN.US,Penn National Gaming Inc,Consumer Cyclical,Resorts & Casinos,1994-05-26,
PGNY,PGNY.US,Progyny Inc,Healthcare,Healthcare Plans,2019-10-25,
PI,PI.US,Impinj Inc,Technology,Semiconductors,2016-07-21,
PLAB,PLAB.US,Photronics Inc,Technology,Semiconductor Equipment & Materials,1987-03-10,
PLUS,PLUS.US,ePlus inc,Technology,Software - Application,1996-11-14,
PLXS,PLXS.US,Plexus Corp,Technology,Electronic Components,1986-02-05,
PMT,PMT.US,PennyMac Mortgage Investment Trust,Real Estate,REIT - Mortgage,2009-07-30,
POWI,POWI.US,Power Integrations Inc,Technology,Semiconductors,1997-12-12,
POWL,POWL.US,Powell Industries Inc,Industrials,Electrical Equipment & Parts,1990-03-26,
PRDO,PRDO.US,Perdoceo Education Corp,Consumer Defensive,Education & Training Services,1998-01-29,
PRG,PRG.US,PROG Holdings Inc,Industrials,Rental & Leasing Services,1984-09-07,
PRGO,PRGO.US,Perrigo Company PLC,Healthcare,Drug Manufacturers - Specialty & Generic,1991-12-16,
PRGS,PRGS.US,Progress Software Corporation,Technology,Software - Infrastructure,1991-07-30,
PRIM,PRIM.US,Primoris Services Corporation,Industrials,Engineering & Construction,2008-08-06,
PRKS,PRKS.US,United Parks & Resorts Inc,Consumer Cyclical,Leisure,2013-04-19,
PRLB,PRLB.US,Proto Labs Inc,Industrials,Metal Fabrication,2012-02-24,
PRSU,PRSU.US,"Pursuit Attractions and Hospitality, Inc.",Consumer Cyclical,Travel Services,2004-08-12,
PRVA,PRVA.US,Privia Health Group Inc,Healthcare,Health Information Services,2021-04-28,
PSMT,PSMT.US,PriceSmart Inc,Consumer Defensive,Discount Stores,1997-08-28,
PTCT,PTCT.US,PTC Therapeutics Inc,Healthcare,Biotechnology,2013-06-20,
PTEN,PTEN.US,Patterson-UTI Energy Inc,Energy,Oil & Gas Drilling,1993-11-02,
PTGX,PTGX.US,Protagonist Therapeutics Inc,Healthcare,Biotechnology,2016-08-11,
PZZA,PZZA.US,Papa John's International Inc,Consumer Cyclical,Restaurants,1993-06-08,
QDEL,QDEL.US,Quidel Corporation,Healthcare,Medical Devices,1991-02-01,
QNST,QNST.US,QuinStreet Inc,Communication Services,Advertising Agencies,2010-02-11,
QRVO,QRVO.US,Qorvo Inc,Technology,Semiconductors,1997-06-03,
QTWO,QTWO.US,Q2 Holdings,Technology,Software - Application,2014-03-20,
RAMP,RAMP.US,Liveramp Holdings Inc,Technology,Software - Infrastructure,1987-01-01,
RCUS,RCUS.US,Arcus Biosciences Inc,Healthcare,Biotechnology,2018-03-15,
RDNT,RDNT.US,RadNet Inc,Healthcare,Diagnostics & Research,1986-07-01,
RES,RES.US,RPC Inc,Energy,Oil & Gas Equipment & Services,1987-12-30,
REYN,REYN.US,Reynolds Consumer Products Inc,Consumer Cyclical,Packaging & Containers,2020-01-31,
REX,REX.US,REX American Resources Corporation,Basic Materials,Chemicals,1987-11-05,
REZI,REZI.US,Resideo Technologies Inc,Industrials,Industrial Distribution,2018-10-29,
RHI,RHI.US,Robert Half International Inc,Industrials,Staffing & Employment Services,1992-03-10,
RHP,RHP.US,Ryman Hospitality Properties Inc,Real Estate,REIT - Hotel & Motel,1991-10-24,
RITM,RITM.US,Rithm Capital Corp.,Real Estate,REIT - Mortgage,2013-05-02,
RNG,RNG.US,Ringcentral Inc,Technology,Software - Application,2013-09-27,
ROCK,ROCK.US,Gibraltar Industries Inc,Industrials,Building Products & Equipment,1993-11-04,
ROG,ROG.US,Rogers Corporation,Technology,Electronic Components,1980-03-17,
RRR,RRR.US,Red Rock Resorts Inc,Consumer Cyclical,Resorts & Casinos,2016-04-27,
RUN,RUN.US,Sunrun Inc,Technology,Solar,2015-08-05,
RUSHA,RUSHA.US,Rush Enterprises A Inc,Consumer Cyclical,Auto & Truck Dealerships,1996-06-06,
RWT,RWT.US,Redwood Trust Inc,Real Estate,REIT - Mortgage,1995-08-04,
RXO,RXO.US,RXO Inc.,Industrials,Trucking,2022-10-27,
SAFE,SAFE.US,Safehold Inc,Real Estate,REIT - Diversified,2017-06-22,
SABR,SABR.US,Sabre Corpo,Technology,Software - Infrastructure,2014-04-17,
SAH,SAH.US,Sonic Automotive Inc,Consumer Cyclical,Auto & Truck Dealerships,1997-11-12,
SANM,SANM.US,Sanmina Corporation,Technology,Electronic Components,1993-04-14,
SBH,SBH.US,Sally Beauty Holdings Inc,Consumer Cyclical,Specialty Retail,2006-11-17,
SCHL,SCHL.US,Scholastic Corporation,Communication Services,Publishing,1987-05-12,
SCL,SCL.US,Stepan Company,Basic Materials,Specialty Chemicals,1992-03-17,
SCSC,SCSC.US,ScanSource Inc,Technology,Electronics & Computer Distribution,1994-03-18,
SDGR,SDGR.US,Schrodinger Inc,Healthcare,Health Information Services,2020-02-06,
SEDG,SEDG.US,SolarEdge Technologies Inc,Technology,Solar,2015-03-26,
SEM,SEM.US,Select Medical Holdings,Healthcare,Medical Care Facilities,2009-09-25,
SHAK,SHAK.US,Shake Shack Inc,Consumer Cyclical,Restaurants,2015-01-30,
SHEN,SHEN.US,Shenandoah Telecommunications Co,Communication Services,Telecom Services,1999-04-26,
SHO,SHO.US,Sunstone Hotel Investors Inc,Real Estate,REIT - Hotel & Motel,1995-08-10,
SHOO,SHOO.US,Steven Madden Ltd,Consumer Cyclical,Footwear & Accessories,1993-12-10,
SIG,SIG.US,Signet Jewelers Ltd,Consumer Cyclical,Luxury Goods,1994-10-31,
SKT,SKT.US,Tanger Factory Outlet Centers Inc,Real Estate,REIT - Retail,1993-05-27,
SKY,SKY.US,Skyline Corporation,Consumer Cyclical,Residential Construction,1981-12-31,
SKYW,SKYW.US,SkyWest Inc,Industrials,Airlines,1990-03-26,
SLG,SLG.US,SL Green Realty Corp,Real Estate,REIT - Office,1997-08-15,
SLVM,SLVM.US,Sylvamo Corp,Basic Materials,Paper & Paper Products,2021-10-01,
SM,SM.US,SM Energy Co,Energy,Oil & Gas E&P,1992-12-16,
SMP,SMP.US,Standard Motor Products Inc,Consumer Cyclical,Auto Parts,1987-12-30,
SMPL,SMPL.US,Simply Good Foods Co,Consumer Defensive,Packaged Foods,2016-07-15,
SMTC,SMTC.US,Semtech Corporation,Technology,Semiconductors,1992-03-17,
SNCY,SNCY.US,Sun Country Airlines Holdings Inc,Industrials,Airlines,2021-03-17,
SNDR,SNDR.US,Schneider National Inc,Industrials,Trucking,2017-04-06,
SONO,SONO.US,Sonos Inc,Technology,Consumer Electronics,2018-08-02,
SPHR,SPHR.US,Sphere Entertainment Co.,Communication Services,Entertainment,2020-04-09,
SPSC,SPSC.US,SPS Commerce Inc,Technology,Software - Application,2010-04-22,
SRPT,SRPT.US,Sarepta Therapeutics Inc,Healthcare,Biotechnology,1997-06-03,
SSTK,SSTK.US,Shutterstock,Communication Services,Internet Content & Information,2012-10-11,
STAA,STAA.US,STAAR Surgical Company,Healthcare,Medical Instruments & Supplies,1983-07-15,
STRA,STRA.US,Strategic Education Inc,Consumer Defensive,Education & Training Services,1996-07-25,
SUPN,SUPN.US,Supernus Pharmaceuticals Inc,Healthcare,Drug Manufacturers - Specialty & Generic,2012-05-01,
SXI,SXI.US,Standex International Corporation,Industrials,Specialty Industrial Machinery,1987-12-30,
SXT,SXT.US,Sensient Technologies Corporation,Basic Materials,Specialty Chemicals,1988-01-05,
TALO,TALO.US,Talos Energy,Energy,Oil & Gas E&P,2018-05-10,
TDC,TDC.US,Teradata Corp,Technology,Software - Infrastructure,2007-10-01,
TDS,TDS.US,Telephone and Data Systems Inc,Communication Services,Telecom Services,1991-09-18,
TDW,TDW.US,Tidewater Inc,Energy,Oil & Gas Equipment & Services,1987-12-30,
TFX,TFX.US,Teleflex Incorporated,Healthcare,Medical Instruments & Supplies,1988-02-18,
TGTX,TGTX.US,TG Therapeutics Inc,Healthcare,Biotechnology,1995-12-14,
THRM,THRM.US,Gentherm Inc,Consumer Cyclical,Auto Parts,1993-06-10,
TILE,TILE.US,Interface Inc,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1990-03-26,
TMDX,TMDX.US,TransMedics Group Inc,Healthcare,Medical Devices,2019-05-02,
TNC,TNC.US,Tennant Company,Industrials,Specialty Industrial Machinery,1992-03-03,
TNDM,TNDM.US,Tandem Diabetes Care Inc,Healthcare,Medical Devices,2013-11-14,
TPH,TPH.US,TRI Pointe Homes Inc,Consumer Cyclical,Residential Construction,2013-01-31,
TR,TR.US,Tootsie Roll Industries Inc,Consumer Defensive,Confectioners,1987-12-30,
TRIP,TRIP.US,TripAdvisor Inc,Consumer Cyclical,Travel Services,2011-12-21,
TRN,TRN.US,Trinity Industries Inc,Industrials,Railroads,1987-12-30,
TRNO,TRNO.US,Terreno Realty Corporation,Real Estate,REIT - Industrial,2010-02-10,
TWO,TWO.US,Two Harbors Investments Corp,Real Estate,REIT - Mortgage,2009-10-29,
UA,UA.US,Under Armour Inc C,Consumer Cyclical,Apparel Manufacturing,2016-04-07,
UAA,UAA.US,Under Armour Inc A,Consumer Cyclical,Apparel Manufacturing,2005-11-18,
UCTT,UCTT.US,Ultra Clean Holdings Inc,Technology,Semiconductor Equipment & Materials,2004-03-25,
UE,UE.US,Urban Edge Properties,Real Estate,REIT - Retail,2015-01-16,
UFPT,UFPT.US,UFP Technologies Inc,Healthcare,Medical Devices,1993-12-16,
UHT,UHT.US,Universal Health Realty Income Trust,Real Estate,REIT - Healthcare Facilities,1987-11-05,
UNF,UNF.US,Unifirst Corporation,Industrials,Specialty Business Services,1988-01-05,
UNFI,UNFI.US,United Natural Foods Inc,Consumer Defensive,Food Distribution,1996-11-01,
UNIT,UNIT.US,Uniti Group Inc,Real Estate,REIT - Specialty,2015-04-20,
UPBD,UPBD.US,Upbound Group Inc.,Technology,Software - Application,1995-01-25,
UPWK,UPWK.US,Upwork Inc,Communication Services,Internet Content & Information,2018-10-03,
URBN,URBN.US,Urban Outfitters Inc,Consumer Cyclical,Apparel Retail,1993-11-09,
USPH,USPH.US,"U.S. Physical Therapy, Inc.",Healthcare,Medical Care Facilities,1992-05-28,
UTL,UTL.US,UNITIL Corporation,Utilities,Utilities - Diversified,1992-03-17,
UVV,UVV.US,Universal Corporation,Consumer Defensive,Tobacco,1988-01-05,
VAC,VAC.US,Marriot Vacations Worldwide,Consumer Cyclical,Resorts & Casinos,2011-11-08,
VCEL,VCEL.US,Vericel Corp Ord,Healthcare,Biotechnology,1997-02-04,
VCYT,VCYT.US,Veracyte Inc,Healthcare,Diagnostics & Research,2013-10-30,
VECO,VECO.US,Veeco Instruments Inc,Technology,Semiconductor Equipment & Materials,1994-11-29,
VIAV,VIAV.US,Viavi Solutions Inc,Technology,Communication Equipment,1993-11-17,
VIR,VIR.US,Vir Biotechnology Inc,Healthcare,Biotechnology,2019-10-11,
VITL,VITL.US,Vital Farms Inc,Consumer Defensive,Farm Products,2020-07-31,
VRE,VRE.US,Veris Residential Inc,Real Estate,REIT - Residential,1994-08-25,
VRRM,VRRM.US,Verra Mobility Corp,Technology,Information Technology Services,2017-03-24,
VSAT,VSAT.US,ViaSat Inc,Technology,Communication Equipment,1996-12-03,
VSCO,VSCO.US,Victoria's Secret & Co,Consumer Cyclical,Apparel Retail,2021-07-21,
VSEC,VSEC.US,VSE Corporation,Industrials,Aerospace & Defense,1995-08-18,
VSH,VSH.US,Vishay Intertechnology Inc,Technology,Semiconductors,1988-01-04,
VTOL,VTOL.US,Bristow Group Inc,Energy,Oil & Gas Equipment & Services,2013-01-22,
VYX,VYX.US,NCR Voyix Corporation,Technology,Information Technology Services,1996-12-11,
WDFC,WDFC.US,WD-40 Company,Basic Materials,Specialty Chemicals,1990-03-26,
WEN,WEN.US,The Wendy’s Co,Consumer Cyclical,Restaurants,1992-03-17,
WERN,WERN.US,Werner Enterprises Inc,Industrials,Trucking,1990-03-26,
WGO,WGO.US,Winnebago Industries Inc,Consumer Cyclical,Recreational Vehicles,1966-01-24,
WHD,WHD.US,Cactus Inc,Energy,Oil & Gas Equipment & Services,2018-02-08,
WINA,WINA.US,Winmark Corporation,Consumer Cyclical,Specialty Retail,1993-08-24,
WKC,WKC.US,World Kinect Corporation,Energy,Oil & Gas Refining & Marketing,1990-07-30,
WLY,WLY.US,John Wiley & Sons,Communication Services,Publishing,2022-04-01,
WOR,WOR.US,Worthington Industries Inc,Industrials,Metal Fabrication,1990-03-26,
WSC,WSC.US,Willscot Mobile Mini Holdings Corp A,Industrials,Rental & Leasing Services,2017-11-30,
WSR,WSR.US,Whitestone REIT,Real Estate,REIT - Retail,2010-08-26,
WWW,WWW.US,Wolverine World Wide Inc,Consumer Cyclical,Footwear & Accessories,1984-12-18,
XHR,XHR.US,Xenia Hotels & Resorts Inc,Real Estate,REIT - Hotel & Motel,2015-02-04,
XNCR,XNCR.US,Xencor Inc,Healthcare,Biotechnology,2013-12-03,
XPEL,XPEL.US,Xpel Inc,Consumer Cyclical,Auto Parts,2007-07-18,
YELP,YELP.US,Yelp Inc,Communication Services,Internet Content & Information,2012-03-02,
YOU,YOU.US,Clear Secure Inc,Technology,Software - Application,2021-06-30,
ZD,ZD.US,Ziff Davis Inc,Communication Services,Advertising Agencies,1999-07-21,
ZWS,ZWS.US,Zurn Elkay Water Solutions Corporation,Industrials,Pollution & Treatment Controls,2012-03-29,
