ticker,period_end,frequency,total_debt,short_term_debt,long_term_debt,cash_and_equivalents,net_debt,interest_expense,fiscal_year
ARI,2018-12-31,annual,2471522000.0,779399000.0,592000000.0,109806000.0,2361716000.0,114597000.0,2018
ARI,2019-12-31,annual,4127900000.0,812980000.0,1068880000.0,452282000.0,3675618000.0,152926000.0,2019
ARI,2020-12-31,annual,7999697000.0,3449665000.0,4550032000.0,325498000.0,909387000.0,148891000.0,2020
ARI,2021-12-31,annual,10141953000.0,4159330000.0,2013294000.0,343106000.0,1670188000.0,162522000.0,2021
ARI,2022-12-31,annual,7286180000.0,494844000.0,6791336000.0,222030000.0,2076248000.0,270525000.0,2022
ARI,2023-12-31,annual,6954825000.0,864177000.0,1403016000.0,225438000.0,6729387000.0,466110000.0,2023
ARI,2024-12-31,annual,6390203000.0,1004188000.0,1566441000.0,317396000.0,6072807000.0,503949000.0,2024
ARI,2025-12-31,annual,7918012000.0,701112000.0,1649462000.0,139825000.0,7778187000.0,460089000.0,2025
CENT,2018-09-30,annual,692153000.0,122000.0,692031000.0,482106000.0,210047000.0,39196000.0,2018
CENT,2019-09-30,annual,693150000.0,113000.0,693037000.0,497749000.0,195401000.0,42614000.0,2019
CENT,2020-09-30,annual,814064000.0,33592000.0,693956000.0,652712000.0,161352000.0,44016000.0,2020
CENT,2021-09-30,annual,1356620000.0,41812000.0,1184683000.0,426422000.0,930198000.0,58597000.0,2021
CENT,2022-09-30,annual,1382397000.0,48428000.0,1186245000.0,177442000.0,1204955000.0,58253000.0,2022
CENT,2023-09-30,annual,1374421000.0,50844000.0,1187956000.0,488730000.0,885691000.0,57025000.0,2023
CENT,2024-09-30,annual,1420447000.0,57552000.0,1189809000.0,753550000.0,666897000.0,57527000.0,2024
CENT,2025-09-30,annual,1440307000.0,56927000.0,1191641000.0,882488000.0,557819000.0,57697000.0,2025
CNMD,2018-12-31,annual,456900000.0,18336000.0,438564000.0,17511000.0,439389000.0,20652000.0,2018
CNMD,2019-12-31,annual,793171000.0,20864000.0,755211000.0,25856000.0,767315000.0,42701000.0,2019
CNMD,2020-12-31,annual,776448000.0,26081000.0,734831000.0,27356000.0,749092000.0,44052000.0,2020
CNMD,2021-12-31,annual,684656000.0,12249000.0,672407000.0,20847000.0,663809000.0,35485000.0,2021
CNMD,2022-12-31,annual,1054822000.0,69746000.0,985076000.0,28942000.0,1025880000.0,28905000.0,2022
CNMD,2023-12-31,annual,991254000.0,8217000.0,973140000.0,24296000.0,966958000.0,39775000.0,2023
CNMD,2024-12-31,annual,905781000.0,715000.0,905066000.0,24459000.0,881322000.0,37297000.0,2024
CNMD,2025-12-31,annual,834942000.0,712000.0,834230000.0,40817000.0,794125000.0,31087000.0,2025
ETD,2018-06-30,annual,1680000.0,1168000.0,516000.0,22363000.0,-20683000.0,325000.0,2018
ETD,2019-06-30,annual,50671000.0,550000.0,50000000.0,20824000.0,-19758000.0,425000.0,2019
ETD,2020-06-30,annual,180062000.0,27830000.0,50000000.0,72276000.0,107786000.0,455000.0,2020
ETD,2021-06-30,annual,126094000.0,27395000.0,,104596000.0,21498000.0,874000.0,2021
ETD,2022-06-30,annual,116325000.0,26240000.0,,121118000.0,6406000.0,201000.0,2022
ETD,2023-06-30,annual,130346000.0,26423000.0,,172707000.0,68216000.0,213000.0,2023
ETD,2024-06-30,annual,129278000.0,27723000.0,,161029000.0,59568000.0,245000.0,2024
ETD,2025-06-30,annual,124356000.0,27774000.0,,136133000.0,48178000.0,243000.0,2025
HOPE,2018-12-31,annual,1117752000.0,345000000.0,296472000.0,2335280000.0,628737000.0,162245000.0,2018
HOPE,2019-12-31,annual,987999000.0,349461000.0,927493000.0,2443716000.0,260270000.0,218191000.0,2019
HOPE,2020-12-31,annual,610773000.0,164495000.0,308743000.0,2664832000.0,231552000.0,131380000.0,2020
HOPE,2021-12-31,annual,635446000.0,313883000.0,621563000.0,2982541000.0,305297000.0,53762000.0,2021
HOPE,2022-12-31,annual,1247801000.0,880014000.0,1188713000.0,2479640000.0,740290000.0,137694000.0,2022
HOPE,2023-12-31,annual,1956665000.0,1798669000.0,1903995000.0,4074026000.0,27698000.0,523017000.0,2023
HOPE,2024-12-31,annual,392643000.0,254093000.0,348584000.0,458199000.0,-65556000.0,526129000.0,2024
HOPE,2025-12-31,annual,395884000.0,284922000.0,395884000.0,2632923000.0,-164175000.0,468930000.0,2025
INVA,2018-12-31,annual,382855000.0,,382855000.0,114908000.0,320438000.0,23954000.0,2018
INVA,2019-12-31,annual,377120000.0,,377120000.0,350845000.0,99024000.0,18660000.0,2019
INVA,2020-12-31,annual,410517000.0,25000000.0,385517000.0,246487000.0,139030000.0,18331000.0,2020
INVA,2021-12-31,annual,394759000.0,106000.0,394653000.0,201525000.0,193234000.0,19070000.0,2021
INVA,2022-12-31,annual,544065000.0,97509000.0,540373000.0,291049000.0,253016000.0,15789000.0,2022
INVA,2023-12-31,annual,449076000.0,1207000.0,446234000.0,193513000.0,255563000.0,19157000.0,2023
INVA,2024-12-31,annual,451095000.0,193600000.0,256316000.0,412496000.0,146131000.0,22209000.0,2024
INVA,2025-12-31,annual,269017000.0,418000.0,257731000.0,550941000.0,-281924000.0,16698000.0,2025
LNN,2018-08-31,annual,116775000.0,205000.0,116570000.0,160787000.0,-44012000.0,4687000.0,2018
LNN,2019-08-31,annual,116055000.0,209000.0,115846000.0,127204000.0,-11149000.0,4767000.0,2019
LNN,2020-08-31,annual,146862000.0,5318000.0,115682000.0,140914000.0,25459000.0,4759000.0,2020
LNN,2021-08-31,annual,138023000.0,4208000.0,115514000.0,146711000.0,10916000.0,4751000.0,2021
LNN,2022-08-31,annual,138532000.0,3381000.0,115341000.0,116508000.0,33484000.0,4269000.0,2022
LNN,2023-08-31,annual,136107000.0,3254000.0,115164000.0,166311000.0,-24648000.0,3788000.0,2023
LNN,2024-08-31,annual,134386000.0,3851000.0,114994000.0,190879000.0,-56493000.0,3234000.0,2024
LNN,2025-08-31,annual,136510000.0,4346000.0,114810000.0,250575000.0,-114065000.0,1833000.0,2025
LPG,2018-03-31,annual,759103152.0,67953538.0,694035583.0,103505676.0,655597476.0,35658045.0,2018
LPG,2019-03-31,annual,696090786.0,63968414.0,632122372.0,30838684.0,665252102.0,40649231.0,2019
LPG,2020-03-31,annual,662124732.0,62553699.0,581919094.0,63309072.0,613735044.0,36105541.0,2020
LPG,2021-03-31,annual,609348723.0,61615967.0,539651761.0,79330007.0,530018716.0,27596124.0,2021
LPG,2022-03-31,annual,652099117.0,61411730.0,590687387.0,79330007.0,529814479.0,27067395.0,2022
LPG,2023-03-31,annual,684405605.0,80148935.0,604256670.0,236758927.0,434077395.0,37803787.0,2023
LPG,2024-03-31,annual,797342049.0,86566508.0,551549215.0,294038910.0,514834078.0,40480428.0,2024
LPG,2025-03-31,annual,712980417.0,89786903.0,498773969.0,316877584.0,396102833.0,35813000.0,2025
LUMN,2018-12-31,annual,36061000000.0,652000000.0,35409000000.0,488000000.0,35573000000.0,2177000000.0,2018
LUMN,2019-12-31,annual,36452000000.0,2716000000.0,32394000000.0,1693000000.0,34759000000.0,2021000000.0,2019
LUMN,2020-12-31,annual,33621000000.0,2806000000.0,29410000000.0,409000000.0,33212000000.0,1668000000.0,2020
LUMN,2021-12-31,annual,31174000000.0,1939000000.0,27428000000.0,354000000.0,30820000000.0,1522000000.0,2021
LUMN,2022-12-31,annual,22004000000.0,498000000.0,20418000000.0,1251000000.0,20753000000.0,1332000000.0,2022
LUMN,2023-12-31,annual,21296000000.0,425000000.0,19831000000.0,2234000000.0,19062000000.0,1158000000.0,2023
LUMN,2024-12-31,annual,19118000000.0,665000000.0,17494000000.0,1889000000.0,17229000000.0,1372000000.0,2024
LUMN,2025-12-31,annual,17707000000.0,354000000.0,17353000000.0,1003000000.0,16704000000.0,1284000000.0,2025
MRCY,2018-06-30,annual,195000000.0,195000000.0,195000000.0,66521000.0,128479000.0,2850000.0,2018
MRCY,2019-06-30,annual,,,,257932000.0,-257932000.0,9109000.0,2019
MRCY,2020-06-30,annual,66981000.0,6950000.0,,226838000.0,-159857000.0,1006000.0,2020
MRCY,2021-06-30,annual,281528000.0,10020000.0,200000000.0,113839000.0,167689000.0,1222000.0,2021
MRCY,2022-06-30,annual,521388000.0,11246000.0,451500000.0,65654000.0,455734000.0,25159000.0,2022
MRCY,2023-06-30,annual,578297000.0,10434000.0,511500000.0,71563000.0,506734000.0,25159000.0,2023
MRCY,2024-06-30,annual,654084000.0,23228000.0,591500000.0,180521000.0,473563000.0,35015000.0,2024
MRCY,2025-06-30,annual,644238000.0,,591500000.0,309099000.0,335139000.0,33430000.0,2025
MWA,2018-09-30,annual,445000000.0,700000.0,444300000.0,347100000.0,97900000.0,24700000.0,2018
MWA,2019-09-30,annual,446300000.0,900000.0,445400000.0,176700000.0,269600000.0,23300000.0,2019
MWA,2020-09-30,annual,474900000.0,5100000.0,446500000.0,208900000.0,266000000.0,26600000.0,2020
MWA,2021-09-30,annual,475500000.0,5000000.0,445900000.0,227500000.0,248000000.0,23800000.0,2021
MWA,2022-09-30,annual,473700000.0,5200000.0,446100000.0,146500000.0,327200000.0,17600000.0,2022
MWA,2023-09-30,annual,472100000.0,5600000.0,446700000.0,160300000.0,311800000.0,18400000.0,2023
MWA,2024-09-30,annual,477500000.0,6300000.0,448700000.0,309900000.0,167600000.0,21500000.0,2024
MWA,2025-09-30,annual,451600000.0,8800000.0,450400000.0,431500000.0,20100000.0,20000000.0,2025
NSSC,2018-06-30,annual,0.0,0.0,0.0,5308000.0,-5308000.0,81000.0,2018
NSSC,2019-06-30,annual,,,,8028000.0,-8028000.0,21000.0,2019
NSSC,2020-06-30,annual,11017000.0,1794000.0,2110000.0,18248000.0,-7231000.0,9000.0,2020
NSSC,2021-06-30,annual,7068000.0,2386000.0,1518000.0,46798000.0,-34662000.0,283000.0,2021
NSSC,2022-06-30,annual,5689000.0,2386000.0,,66751000.0,-30266000.0,283000.0,2022
NSSC,2023-06-30,annual,5512000.0,,,97719000.0,-59829000.0,903000.0,2023
NSSC,2024-06-30,annual,5335000.0,,,99176000.0,-77746000.0,2568000.0,2024
NSSC,2025-06-30,annual,5335000.0,,,99176000.0,-77746000.0,,2025
OI,2018-12-31,annual,5341000000.0,160000000.0,5181000000.0,512000000.0,4829000000.0,261000000.0,2018
OI,2019-12-31,annual,5559000000.0,124000000.0,5435000000.0,551000000.0,5008000000.0,311000000.0,2019
OI,2020-12-31,annual,5142000000.0,197000000.0,4945000000.0,563000000.0,4579000000.0,265000000.0,2020
OI,2021-12-31,annual,4825000000.0,72000000.0,4753000000.0,725000000.0,4100000000.0,216000000.0,2021
OI,2022-12-31,annual,4716000000.0,345000000.0,4371000000.0,773000000.0,3943000000.0,239000000.0,2022
OI,2023-12-31,annual,4946000000.0,248000000.0,4698000000.0,913000000.0,4033000000.0,342000000.0,2023
OI,2024-12-31,annual,5179000000.0,457000000.0,4553000000.0,734000000.0,4445000000.0,335000000.0,2024
OI,2025-12-31,annual,4999000000.0,162000000.0,4837000000.0,759000000.0,4240000000.0,341000000.0,2025
PRSU,2018-12-31,annual,230121000.0,229416000.0,,44893000.0,185228000.0,9640000.0,2018
PRSU,2019-12-31,annual,445523000.0,27510000.0,,61999000.0,383524000.0,14199000.0,2019
PRSU,2020-12-31,annual,379538000.0,24032000.0,285356000.0,39545000.0,339993000.0,17887000.0,2020
PRSU,2021-12-31,annual,565237000.0,25251000.0,446580000.0,61600000.0,503637000.0,28324000.0,2021
PRSU,2022-12-31,annual,584704000.0,26655000.0,456752000.0,59719000.0,524985000.0,4064000.0,2022
PRSU,2023-12-31,annual,490056000.0,9842000.0,444304000.0,27435000.0,462621000.0,5963000.0,2023
PRSU,2024-12-31,annual,112733000.0,4954000.0,71443000.0,49702000.0,63031000.0,14182000.0,2024
PRSU,2025-12-31,annual,195221000.0,4862000.0,155020000.0,31118000.0,164103000.0,8823000.0,2025
RNG,2018-12-31,annual,366552000.0,0.0,366552000.0,566329000.0,-199777000.0,16102000.0,2018
RNG,2019-12-31,annual,429654000.0,14249000.0,386889000.0,343606000.0,86048000.0,20512000.0,2019
RNG,2020-12-31,annual,1461457000.0,47415000.0,1375320000.0,639853000.0,821604000.0,49281000.0,2020
RNG,2021-12-31,annual,1448987000.0,18686000.0,1398489000.0,267162000.0,1181825000.0,64382000.0,2021
RNG,2022-12-31,annual,1676106000.0,17513000.0,1638411000.0,269984000.0,1406122000.0,4807000.0,2022
RNG,2023-12-31,annual,1590367000.0,36707000.0,1525482000.0,222195000.0,1368172000.0,35997000.0,2023
RNG,2024-12-31,annual,1579311000.0,201697000.0,1347881000.0,242811000.0,1336500000.0,64995000.0,2024
RNG,2025-12-31,annual,1481989000.0,624216000.0,629580000.0,132564000.0,1349425000.0,60279000.0,2025
SFBS,2018-12-31,annual,353391000.0,288725000.0,64666000.0,1048234000.0,-104659000.0,63948000.0,2018
SFBS,2019-12-31,annual,538457000.0,473754000.0,64703000.0,1289526000.0,-465424000.0,103158000.0,2019
SFBS,2020-12-31,annual,919317000.0,854569000.0,64748000.0,3096328000.0,-2144892000.0,50985000.0,2020
SFBS,2021-12-31,annual,1780567000.0,1715861000.0,64706000.0,5006294000.0,-4099018000.0,31802000.0,2021
SFBS,2022-12-31,annual,1683524000.0,1618798000.0,64726000.0,1459353000.0,868986000.0,88423000.0,2022
SFBS,2023-12-31,annual,1321459000.0,1256724000.0,64735000.0,2856440000.0,-709054000.0,402309000.0,2023
SFBS,2024-12-31,annual,2058471000.0,1993728000.0,64743000.0,2818590000.0,-317118000.0,499462000.0,2024
SFBS,2025-12-31,annual,1506378000.0,1471628000.0,34750000.0,1163952000.0,1411251000.0,455218000.0,2025
SMPL,2018-08-31,annual,191583000.0,648000.0,190935000.0,111971000.0,79612000.0,12551000.0,2018
SMPL,2019-08-31,annual,190935000.0,676000.0,190259000.0,266341000.0,-75406000.0,13627000.0,2019
SMPL,2020-08-31,annual,624243000.0,4600000.0,596879000.0,95847000.0,528396000.0,32813000.0,2020
SMPL,2021-08-31,annual,600952000.0,4073000.0,596879000.0,75345000.0,379997000.0,31557000.0,2021
SMPL,2022-08-31,annual,454174000.0,6513000.0,403022000.0,67494000.0,386680000.0,21881000.0,2022
SMPL,2023-08-31,annual,327704000.0,7709000.0,281649000.0,87715000.0,239989000.0,30068000.0,2023
SMPL,2024-08-31,annual,437309000.0,5494000.0,397485000.0,132530000.0,304779000.0,26029000.0,2024
SMPL,2025-08-31,annual,304427000.0,5867000.0,249066000.0,98468000.0,205959000.0,23249000.0,2025
SSTK,2018-12-31,annual,74356000.0,74356000.0,,230852000.0,-230852000.0,0.0,2018
SSTK,2019-12-31,annual,47313000.0,79057000.0,,303261000.0,-255948000.0,54676000.0,2019
SSTK,2020-12-31,annual,41620000.0,9097000.0,,428574000.0,-386954000.0,7324000.0,2020
SSTK,2021-12-31,annual,36966000.0,8364000.0,,314017000.0,-277051000.0,67000.0,2021
SSTK,2022-12-31,annual,85611000.0,50000000.0,,115154000.0,-29543000.0,1336000.0,2022
SSTK,2023-12-31,annual,59404000.0,30000000.0,,100490000.0,-41086000.0,1856000.0,2023
SSTK,2024-12-31,annual,310786000.0,167823000.0,119598000.0,111251000.0,199535000.0,10561000.0,2024
SSTK,2025-12-31,annual,317578000.0,166445000.0,116639000.0,178244000.0,139334000.0,16826000.0,2025
TDW,2018-12-31,annual,439004000.0,8568000.0,430436000.0,371791000.0,67213000.0,30439000.0,2018
TDW,2019-12-31,annual,288934000.0,9890000.0,279044000.0,218290000.0,70644000.0,29068000.0,2019
TDW,2020-12-31,annual,192731000.0,27797000.0,164934000.0,149933000.0,42798000.0,24156000.0,2020
TDW,2021-12-31,annual,169290000.0,1405000.0,167885000.0,149037000.0,18848000.0,15583000.0,2021
TDW,2022-12-31,annual,171147000.0,2111000.0,169036000.0,164192000.0,4844000.0,17189000.0,2022
TDW,2023-12-31,annual,734438000.0,103077000.0,631361000.0,274437000.0,460001000.0,48472000.0,2023
TDW,2024-12-31,annual,637096000.0,65386000.0,571710000.0,324918000.0,312178000.0,72967000.0,2024
TDW,2025-12-31,annual,654893000.0,5845000.0,649048000.0,578761000.0,76132000.0,66090000.0,2025
WSR,2018-12-31,annual,624335000.0,6130000.0,618205000.0,13658000.0,604547000.0,25177000.0,2018
WSR,2019-12-31,annual,655650000.0,10951000.0,644699000.0,15530000.0,629169000.0,26285000.0,2019
WSR,2020-12-31,annual,646014000.0,1829000.0,644185000.0,25777000.0,618408000.0,25770000.0,2020
WSR,2021-12-31,annual,744804000.0,101962000.0,642842000.0,15721000.0,627121000.0,24564000.0,2021
WSR,2022-12-31,annual,626897000.0,735000.0,625427000.0,6166000.0,619996000.0,27193000.0,2022
WSR,2023-12-31,annual,640893000.0,63834000.0,640172000.0,7185000.0,636321000.0,32866000.0,2023
WSR,2024-12-31,annual,632357000.0,429000.0,631518000.0,5224000.0,627133000.0,34035000.0,2024
WSR,2025-12-31,annual,643925000.0,17476000.0,643925000.0,4888000.0,639037000.0,33672000.0,2025
